Thu, 27 Nov 14 20:44:48 -0500 | write_tweets.php -> select | Table '140dev.tweets_tags' doesn't exist | DELETE FROM tweets_tags
Thu, 27 Nov 14 20:44:48 -0500 | write_tweets.php -> select | Table '140dev.tweets_urls' doesn't exist | DELETE FROM tweets_urls
Thu, 27 Nov 14 20:45:08 -0500 | write_tweets.php -> select | Table '140dev.tweets_mentions' doesn't exist | DELETE FROM tweets_mentions
Thu, 27 Nov 14 20:45:08 -0500 | write_tweets.php -> select | Table '140dev.tweets_tags' doesn't exist | DELETE FROM tweets_tags
Thu, 27 Nov 14 20:45:08 -0500 | write_tweets.php -> select | Table '140dev.tweets_urls' doesn't exist | DELETE FROM tweets_urls
Thu, 27 Nov 14 20:45:28 -0500 | write_tweets.php -> select | Table '140dev.tweets_mentions' doesn't exist | DELETE FROM tweets_mentions
Thu, 27 Nov 14 20:45:28 -0500 | write_tweets.php -> select | Table '140dev.tweets_tags' doesn't exist | DELETE FROM tweets_tags
Thu, 27 Nov 14 20:45:28 -0500 | write_tweets.php -> select | Table '140dev.tweets_urls' doesn't exist | DELETE FROM tweets_urls
Thu, 27 Nov 14 20:45:48 -0500 | write_tweets.php -> select | Table '140dev.tweets_mentions' doesn't exist | DELETE FROM tweets_mentions
Thu, 27 Nov 14 20:45:48 -0500 | write_tweets.php -> select | Table '140dev.tweets_tags' doesn't exist | DELETE FROM tweets_tags
Thu, 27 Nov 14 20:45:48 -0500 | write_tweets.php -> select | Table '140dev.tweets_urls' doesn't exist | DELETE FROM tweets_urls
Thu, 27 Nov 14 20:46:08 -0500 | write_tweets.php -> select | Table '140dev.tweets_mentions' doesn't exist | DELETE FROM tweets_mentions
Thu, 27 Nov 14 20:46:08 -0500 | write_tweets.php -> select | Table '140dev.tweets_tags' doesn't exist | DELETE FROM tweets_tags
Thu, 27 Nov 14 20:46:08 -0500 | write_tweets.php -> select | Table '140dev.tweets_urls' doesn't exist | DELETE FROM tweets_urls
Thu, 27 Nov 14 20:46:28 -0500 | write_tweets.php -> select | Table '140dev.tweets_mentions' doesn't exist | DELETE FROM tweets_mentions
Thu, 27 Nov 14 20:46:28 -0500 | write_tweets.php -> select | Table '140dev.tweets_tags' doesn't exist | DELETE FROM tweets_tags
Thu, 27 Nov 14 20:46:28 -0500 | write_tweets.php -> select | Table '140dev.tweets_urls' doesn't exist | DELETE FROM tweets_urls
Thu, 27 Nov 14 20:46:49 -0500 | write_tweets.php -> select | Table '140dev.tweets_mentions' doesn't exist | DELETE FROM tweets_mentions
Thu, 27 Nov 14 20:46:49 -0500 | write_tweets.php -> select | Table '140dev.tweets_tags' doesn't exist | DELETE FROM tweets_tags
Thu, 27 Nov 14 20:46:49 -0500 | write_tweets.php -> select | Table '140dev.tweets_urls' doesn't exist | DELETE FROM tweets_urls
Thu, 27 Nov 14 20:47:09 -0500 | write_tweets.php -> select | Table '140dev.tweets_mentions' doesn't exist | DELETE FROM tweets_mentions
Thu, 27 Nov 14 20:47:09 -0500 | write_tweets.php -> select | Table '140dev.tweets_tags' doesn't exist | DELETE FROM tweets_tags
Thu, 27 Nov 14 20:47:09 -0500 | write_tweets.php -> select | Table '140dev.tweets_urls' doesn't exist | DELETE FROM tweets_urls
Thu, 27 Nov 14 20:47:29 -0500 | write_tweets.php -> select | Table '140dev.tweets_mentions' doesn't exist | DELETE FROM tweets_mentions
Thu, 27 Nov 14 20:47:29 -0500 | write_tweets.php -> select | Table '140dev.tweets_tags' doesn't exist | DELETE FROM tweets_tags
Thu, 27 Nov 14 20:47:29 -0500 | write_tweets.php -> select | Table '140dev.tweets_urls' doesn't exist | DELETE FROM tweets_urls
Thu, 27 Nov 14 20:47:49 -0500 | write_tweets.php -> select | Table '140dev.tweets_mentions' doesn't exist | DELETE FROM tweets_mentions
Thu, 27 Nov 14 20:47:49 -0500 | write_tweets.php -> select | Table '140dev.tweets_tags' doesn't exist | DELETE FROM tweets_tags
Thu, 27 Nov 14 20:47:49 -0500 | write_tweets.php -> select | Table '140dev.tweets_urls' doesn't exist | DELETE FROM tweets_urls
Thu, 27 Nov 14 20:48:09 -0500 | write_tweets.php -> select | Table '140dev.tweets_mentions' doesn't exist | DELETE FROM tweets_mentions
Thu, 27 Nov 14 20:48:09 -0500 | write_tweets.php -> select | Table '140dev.tweets_tags' doesn't exist | DELETE FROM tweets_tags
Thu, 27 Nov 14 20:48:09 -0500 | write_tweets.php -> select | Table '140dev.tweets_urls' doesn't exist | DELETE FROM tweets_urls
Thu, 27 Nov 14 20:48:29 -0500 | write_tweets.php -> select | Table '140dev.tweets_mentions' doesn't exist | DELETE FROM tweets_mentions
Thu, 27 Nov 14 20:48:29 -0500 | write_tweets.php -> select | Table '140dev.tweets_tags' doesn't exist | DELETE FROM tweets_tags
Thu, 27 Nov 14 20:48:29 -0500 | write_tweets.php -> select | Table '140dev.tweets_urls' doesn't exist | DELETE FROM tweets_urls
Thu, 27 Nov 14 20:48:49 -0500 | write_tweets.php -> select | Table '140dev.tweets_mentions' doesn't exist | DELETE FROM tweets_mentions
Thu, 27 Nov 14 20:48:49 -0500 | write_tweets.php -> select | Table '140dev.tweets_tags' doesn't exist | DELETE FROM tweets_tags
Thu, 27 Nov 14 20:48:49 -0500 | write_tweets.php -> select | Table '140dev.tweets_urls' doesn't exist | DELETE FROM tweets_urls
Thu, 27 Nov 14 20:49:09 -0500 | write_tweets.php -> select | Table '140dev.tweets_mentions' doesn't exist | DELETE FROM tweets_mentions
Thu, 27 Nov 14 20:49:09 -0500 | write_tweets.php -> select | Table '140dev.tweets_tags' doesn't exist | DELETE FROM tweets_tags
Thu, 27 Nov 14 20:49:09 -0500 | write_tweets.php -> select | Table '140dev.tweets_urls' doesn't exist | DELETE FROM tweets_urls
Thu, 27 Nov 14 20:49:29 -0500 | write_tweets.php -> select | Table '140dev.tweets_mentions' doesn't exist | DELETE FROM tweets_mentions
Thu, 27 Nov 14 20:49:29 -0500 | write_tweets.php -> select | Table '140dev.tweets_tags' doesn't exist | DELETE FROM tweets_tags
Thu, 27 Nov 14 20:49:29 -0500 | write_tweets.php -> select | Table '140dev.tweets_urls' doesn't exist | DELETE FROM tweets_urls
Thu, 27 Nov 14 20:49:49 -0500 | write_tweets.php -> select | Table '140dev.tweets_mentions' doesn't exist | DELETE FROM tweets_mentions
Thu, 27 Nov 14 20:49:49 -0500 | write_tweets.php -> select | Table '140dev.tweets_tags' doesn't exist | DELETE FROM tweets_tags
